time,mkt_rf,rf
199001,-7.85,0.57
199002,1.11,0.57
199003,1.83,0.64
199004,-3.36,0.69
199005,8.42,0.68
199006,-1.09,0.63
199007,-1.9,0.68
199008,-10.15,0.66
199009,-6.12,0.6
199010,-1.92,0.68
199011,6.35,0.57
199012,2.46,0.6
199101,4.69,0.52
199102,7.19,0.48
199103,2.65,0.44
199104,-0.28,0.53
199105,3.65,0.47
199106,-4.94,0.42
199107,4.24,0.49
199108,2.32,0.46
199109,-1.59,0.46
199110,1.29,0.42
199111,-4.19,0.39
199112,10.84,0.38
199201,-0.59,0.34
199202,1.09,0.28
199203,-2.66,0.34
199204,1.07,0.32
199205,0.3,0.28
199206,-2.34,0.32
199207,3.77,0.31
199208,-2.38,0.26
199209,1.19,0.26
199210,1.02,0.23
199211,4.13,0.23
199212,1.53,0.28
199301,0.93,0.23
199302,0.12,0.22
199303,2.3,0.25
199304,-3.05,0.24
199305,2.89,0.22
199306,0.31,0.25
199307,-0.34,0.24
199308,3.71,0.25
199309,-0.12,0.26
199310,1.41,0.22
199311,-1.89,0.25
199312,1.65,0.23
199401,2.87,0.25
199402,-2.55,0.21
199403,-4.78,0.27
199404,0.68,0.27
199405,0.58,0.31
199406,-3.03,0.31
199407,2.82,0.28
199408,4.01,0.37
199409,-2.31,0.37
199410,1.34,0.38
199411,-4.04,0.37
199412,0.86,0.44
199501,1.8,0.42
199502,3.63,0.4
199503,2.19,0.46
199504,2.11,0.44
199505,2.9,0.54
199506,2.72,0.47
199507,3.72,0.45
199508,0.55,0.47
199509,3.35,0.43
199510,-1.52,0.47
199511,3.96,0.42
199512,1.03,0.49
199601,2.26,0.43
199602,1.33,0.39
199603,0.73,0.39
199604,2.06,0.46
199605,2.36,0.42
199606,-1.14,0.4
199607,-5.97,0.45
199608,2.77,0.41
199609,5.01,0.44
199610,0.86,0.42
199611,6.25,0.41
199612,-1.7,0.46
199701,4.99,0.45
199702,-0.49,0.39
199703,-5.03,0.43
199704,4.04,0.43
199705,6.74,0.49
199706,4.1,0.37
199707,7.33,0.43
199708,-4.15,0.41
199709,5.35,0.44
199710,-3.8,0.42
199711,2.98,0.39
199712,1.32,0.48
199801,0.15,0.43
199802,7.04,0.39
199803,4.76,0.39
199804,0.73,0.43
199805,-3.07,0.4
199806,3.18,0.41
199807,-2.46,0.4
199808,-16.08,0.43
199809,6.15,0.46
199810,7.13,0.32
199811,6.1,0.31
199812,6.16,0.38
199901,3.5,0.35
199902,-4.08,0.35
199903,3.45,0.43
199904,4.33,0.37
199905,-2.46,0.34
199906,4.77,0.4
199907,-3.49,0.38
199908,-1.38,0.39
199909,-2.79,0.39
199910,6.12,0.39
199911,3.37,0.36
199912,7.72,0.44
